name,hexadecimal,rgb_red,rgb_green,rgb_blue,hsv_hue,hsv_satur,hsv_value
Tangerine yellow,#FFCC00,255,204,0,48,100,100
Tango pink,#E4717A,228,113,122,355,50,89
Tart Orange,#FB4D46,251,77,70,2,72,98
Taupe,#483C32,72,60,50,27,31,28
Taupe gray,#8B8589,139,133,137,320,4,55
Tea green,#D0F0C0,208,240,192,100,20,94
Tea rose,#F88379,248,131,121,5,51,97
Tea rose,#F4C2C2,244,194,194,0,20,96
Teal,#008080,0,128,128,180,100,50
Teal blue,#367588,54,117,136,194,60,53
Teal deer,#99E6B3,153,230,179,140,33,90
Teal green,#00827F,0,130,127,179,100,51
Telemagenta,#CF3476,207,52,118,334,75,81
Tenné,#CD5700,205,87,0,25,100,80
Terra cotta,#E2725B,226,114,91,10,60,89
Thistle,#D8BFD8,216,191,216,300,12,85
Thulian pink,#DE6FA1,222,111,161,333,50,87
Tickle Me Pink,#FC89AC,252,137,172,342,46,99
Tiffany Blue,#0ABAB5,10,186,181,178,95,73
Tiger's eye,#E08D3C,224,141,60,30,73,88
Timberwolf,#DBD7D2,219,215,210,33,4,86
Titanium yellow,#EEE600,238,230,0,58,100,93
Tomato,#FF6347,255,99,71,9,72,100
Toolbox,#746CC0,116,108,192,246,44,75
Topaz,#FFC87C,255,200,124,35,51,100
Tractor red,#FD0E35,253,14,53,350,94,99
Trolley Grey,#808080,128,128,128,0,0,50
Tropical rain forest,#00755E,0,117,94,168,100,46
Tropical violet,#CDA4DE,205,164,222,282,26,87
True Blue,#0073CF,0,115,207,207,100,81
Tufts Blue,#417DC1,65,125,193,212,66,76
Tulip,#FF878D,255,135,141,357,47,100
Tumbleweed,#DEAA88,222,170,136,24,39,87
Turkish rose,#B57281,181,114,129,347,37,71
Turquoise,#40E0D0,64,224,208,174,71,88
Turquoise blue,#00FFEF,0,255,239,176,100,100
Turquoise green,#A0D6B4,160,214,180,142,25,84
Turtle green,#8A9A5B,138,154,91,75,41,60
Tuscan,#FAD6A5,250,214,165,35,34,98
Tuscan brown,#6F4E37,111,78,55,25,50,44
Tuscan red,#7C4848,124,72,72,0,42,49
Tuscan tan,#A67B5B,166,123,91,26,45,65
Tuscany,#C09999,192,153,153,0,20,75
Twilight lavender,#8A496B,138,73,107,329,47,54
Tyrian purple,#66023C,102,2,60,325,98,40
UA blue,#0033AA,0,51,170,222,100,67
UA red,#D9004C,217,0,76,339,100,85
Ube,#8878C3,136,120,195,253,38,76
UCLA Blue,#536895,83,104,149,221,44,58
UCLA Gold,#FFB300,255,179,0,42,100,100
UFO Green,#3CD070,60,208,112,141,71,82
Ultramarine,#3F00FF,63,0,255,244,93,56
Ultramarine blue,#4166F5,65,102,245,228,73,96
Ultra pink,#FF6FFF,255,111,255,300,56,100
Ultra red,#FC6C85,252,108,133,350,57,99
Umber,#635147,99,81,71,21,28,39
Unbleached silk,#FFDDCA,255,221,202,22,21,100
United Nations blue,#5B92E5,91,146,229,216,60,90
University of California Gold,#B78727,183,135,39,40,79,72
Unmellow yellow,#FFFF66,255,255,102,60,60,100
UP Forest green,#014421,1,68,33,149,99,27
UP Maroon,#7B1113,123,17,19,359,86,48
Upsdell red,#AE2029,174,32,41,356,82,68
Urobilin,#E1AD21,225,173,33,44,85,88
USAFA blue,#004F98,0,79,152,209,100,60
USC Cardinal,#990000,153,0,0,0,100,60
USC Gold,#FFCC00,255,204,0,48,100,100
University of Tennessee Orange,#F77F00,247,127,0,31,100,97
Utah Crimson,#D3003F,211,0,63,342,100,83
Van Dyke Brown,#664228,102,66,40,25,60,0
Vanilla,#F3E5AB,243,229,171,48,30,95
Vanilla ice,#F38FA9,243,143,169,344,41,95
Vegas gold,#C5B358,197,179,88,50,55,77
Venetian red,#C80815,200,8,21,356,96,78
Verdigris,#43B3AE,67,179,174,177,63,70
Vermilion,#E34234,227,66,52,5,77,89
Vermilion,#D9381E,217,56,30,8,86,85
Veronica,#A020F0,160,32,240,277,87,94
Very light azure,#74BBFB,116,187,251,208,54,98
Very light blue,#6666FF,102,102,255,240,60,100
Very light malachite green,#64E986,100,233,134,135,57,91
Very light tangelo,#FFB077,255,176,119,25,53,100
Very pale orange,#FFDFBF,255,223,191,30,25,100
Very pale yellow,#FFFFBF,255,255,191,60,25,100
Violet,#8F00FF,143,0,255,274,100,100
Violet (color wheel),#7F00FF,127,0,255,270,100,100
Violet (RYB),#8601AF,134,1,175,286,99,69
Violet (web),#EE82EE,238,130,238,300,45,93
Violet-blue,#324AB2,50,74,178,229,72,70
Violet-red,#F75394,247,83,148,336,66,97
Viridian,#40826D,64,130,109,161,51,51
Viridian green,#009698,0,150,152,181,100,60
Vista blue,#7C9ED9,124,158,217,218,43,85
Vivid amber,#CC9900,204,153,0,45,100,80
Vivid auburn,#922724,146,39,36,2,75,57
Vivid burgundy,#9F1D35,159,29,53,349,82,62
Vivid cerise,#DA1D81,218,29,129,328,87,85
Vivid cerulean,#00AAEE,0,170,238,197,100,93
Vivid crimson,#CC0033,204,0,51,345,100,80
Vivid gamboge,#FF9900,255,153,0,36,100,100
Vivid lime green,#A6D608,166,214,8,74,96,84
Vivid malachite,#00CC33,0,204,51,135,100,80
Vivid mulberry,#B80CE3,184,12,227,288,95,89
Vivid orange,#FF5F00,255,95,0,22,100,100
Vivid orange peel,#FFA000,255,160,0,18,100,100
Vivid orchid,#CC00FF,204,0,255,288,100,100
Vivid raspberry,#FF006C,255,0,108,335,100,100
Vivid red,#F70D1A,247,13,26,357,95,97
Vivid red-tangelo,#DF6124,223,97,36,20,84,87
Vivid sky blue,#00CCFF,0,204,255,192,100,100
Vivid tangelo,#F07427,240,116,39,23,84,94
Vivid tangerine,#FFA089,255,160,137,12,46,100
Vivid vermilion,#E56024,229,96,36,19,84,90
Vivid violet,#9F00FF,159,0,255,277,100,100
Vivid yellow,#FFE302,255,227,2,53,99,100
Volt,#CEFF00,206,255,0,72,100,100
Warm black,#004242,0,66,66,180,100,25
Waterspout,#A4F4F9,164,244,249,184,34,98
Weldon Blue,#7C98AB,124,152,171,204,28,67
Wenge,#645452,100,84,82,7,18,39
Wheat,#F5DEB3,245,222,179,39,27,96
White,#FFFFFF,255,255,255,0,0,100
White smoke,#F5F5F5,245,245,245,0,0,96
Wild blue yonder,#A2ADD0,162,173,208,226,22,82
Wild orchid,#D470A2,212,112,162,330,47,83
Wild Strawberry,#FF43A4,255,67,164,329,74,100
Wild watermelon,#FC6C85,252,108,133,350,57,99
Willpower orange,#FD5800,253,88,0,21,100,99
Windsor tan,#A75502,167,85,2,30,99,65
Wine,#722F37,114,47,55,353,59,45
Wine dregs,#673147,103,49,71,336,52,40
Winter Sky,#FF007C,255,0,124,331,100,100
Winter Wizard,#A0E6FF,160,230,255,196,37,100
Wintergreen Dream,#56887D,86,136,125,167,37,53
Wisteria,#C9A0DC,201,160,220,281,27,86
Wood brown,#C19A6B,193,154,107,33,45,76
Xanadu,#738678,115,134,120,136,14,53
Yale Blue,#0F4D92,15,77,146,212,90,57
Yankees blue,#1C2841,28,40,65,221,57,25
Yellow,#FFFF00,255,255,0,60,100,100
Yellow (Crayola),#FCE883,252,232,131,50,48,99
Yellow (Munsell),#EFCC00,239,204,0,51,100,94
Yellow (NCS),#FFD300,255,211,0,50,100,100
Yellow (Pantone),#FEDF00,254,223,0,53,100,100
Yellow (process),#FFEF00,255,239,0,56,100,100
Yellow (RYB),#FEFE33,254,254,51,60,80,100
Yellow-green,#9ACD32,154,205,50,80,76,80
Yellow Orange,#FFAE42,255,174,66,34,74,100
Yellow rose,#FFF000,255,240,0,56,100,100
Yellow Sunshine,#FFF700,255,247,0,58,100,100
Zaffre,#0014A8,0,20,168,233,100,66
Zinnwaldite brown,#2C1608,44,22,8,23,82,17
Zomp,#39A78E,57,167,142,166,66,65
