name,hexadecimal,rgb_red,rgb_green,rgb_blue,hsv_hue,hsv_satur,hsv_value
Electric cyan,#00FFFF,0,255,255,180,100,100
Electric green,#00FF00,0,255,0,120,100,100
Electric indigo,#6F00FF,111,0,255,266,100,100
Electric lavender,#F4BBFF,244,187,255,290,27,100
Electric lime,#CCFF00,204,255,0,72,100,100
Electric purple,#BF00FF,191,0,255,285,100,100
Electric ultramarine,#3F00FF,63,0,255,255,100,100
Electric violet,#8F00FF,143,0,255,274,100,100
Electric yellow,#FFFF33,255,255,51,60,80,100
Emerald,#50C878,80,200,120,140,60,78
Eminence,#6C3082,108,48,130,284,63,51
English green,#1B4D3E,27,77,62,162,65,30
English lavender,#B48395,180,131,149,338,27,71
English red,#AB4B52,171,75,82,356,56,67
English vermillion,#CC474B,204,71,75,358,65,80
English violet,#563C5C,86,60,92,289,35,36
Eton blue,#96C8A2,150,200,162,134,25,78
Eucalyptus,#44D7A8,68,215,168,161,68,84
Fallow,#C19A6B,193,154,107,33,45,76
Falu red,#801818,128,24,24,0,81,50
Fandango,#B53389,181,51,137,320,72,71
Fandango pink,#DE5285,222,82,133,338,63,87
Fashion fuchsia,#F400A1,244,0,161,320,100,96
Fawn,#E5AA70,229,170,112,30,51,90
Feldgrau,#4D5D53,77,93,83,143,17,36
Feldspar,#FDD5B1,253,213,177,28,30,99
Fern green,#4F7942,79,121,66,106,45,47
Ferrari Red,#FF2800,255,40,0,9,100,100
Field drab,#6C541E,108,84,30,42,72,42
Fiery Rose,#FF5470,255,84,112,350,67,100
Firebrick,#B22222,178,34,34,0,81,70
Fire engine red,#CE2029,206,32,41,357,84,81
Flame,#E25822,226,88,34,17,85,89
Flamingo pink,#FC8EAC,252,142,172,344,44,99
Flattery,#6B4423,107,68,35,28,67,42
Flavescent,#F7E98E,247,233,142,52,43,97
Flax,#EEDC82,238,220,130,50,45,93
Flirt,#A2006D,162,0,109,320,100,64
Floral white,#FFFAF0,255,250,240,40,6,100
Fluorescent orange,#FFBF00,255,191,0,45,100,100
Fluorescent pink,#FF1493,255,20,147,328,92,100
Fluorescent yellow,#CCFF00,204,255,0,72,100,100
Folly,#FF004F,255,0,79,341,100,100
Forest green (traditional),#014421,1,68,33,149,99,27
Forest green (web),#228B22,34,139,34,120,76,55
French beige,#A67B5B,166,123,91,26,45,65
French bistre,#856D4D,133,109,77,34,42,52
French blue,#0072BB,0,114,187,203,100,73
French fuchsia,#FD3F92,253,63,146,334,75,99
French lilac,#86608E,134,96,142,290,32,56
French lime,#9EFD38,158,253,56,89,78,99
French mauve,#D473D4,212,115,212,300,46,83
French pink,#FD6C9E,253,108,158,339,57,99
French plum,#811453,129,20,83,325,84,51
French puce,#4E1609,78,22,9,11,88,31
French raspberry,#C72C48,199,44,72,349,78,78
French rose,#F64A8A,246,74,138,338,70,96
French sky blue,#77B5FE,119,181,254,212,53,100
French violet,#8806CE,136,6,206,279,97,81
French wine,#AC1E44,172,30,68,344,83,67
Fresh Air,#A6E7FF,166,231,255,196,35,100
Frostbite,#E936A7,233,54,167,322,77,91
Fuchsia,#FF00FF,255,0,255,300,100,100
Fuchsia (Crayola),#C154C1,193,84,193,300,56,76
Fuchsia pink,#FF77FF,255,119,255,300,53,100
Fuchsia purple,#CC397B,204,57,123,333,72,80
Fuchsia rose,#C74375,199,67,117,337,66,78
Fulvous,#E48400,228,132,0,35,100,89
Fuzzy Wuzzy,#CC6666,204,102,102,0,50,80
Gainsboro,#DCDCDC,220,220,220,0,0,86
Gamboge,#E49B0F,228,155,15,39,93,89
Gamboge orange (brown),#996600,153,102,0,40,100,60
Gargoyle Gas,#FFDF46,255,223,70,50,73,100
Generic viridian,#007F66,0,127,102,168,100,50
Ghost white,#F8F8FF,248,248,255,240,3,100
Giant's Club,#B05C52,176,92,82,6,53,69
Giants orange,#FE5A1D,254,90,29,16,89,100
Ginger,#B06500,176,101,0,34,100,69
Glaucous,#6082B6,96,130,182,216,47,71
Glitter,#E6E8FA,230,232,250,234,8,98
Glossy Grape,#AB92B3,171,146,179,285,18,70
GO green,#00AB66,0,171,102,156,100,67
Gold (metallic),#D4AF37,212,175,55,46,74,83
Gold (web) (Golden),#FFD700,255,215,0,51,100,100
